"NAICS","BEA_Sector","BEA_Summary","BEA_Detail","stateior_Summary","ModelSchema"
"33331411","31G","333","333314","333",""
"3333141101","31G","333","333314","333",""
"3333141103","31G","333","333314","333",""
"3333141104","31G","333","333314","333",""
"3333141106","31G","333","333314","333",""
"3333141109","31G","333","333314","333",""
"3333143","31G","333","333314","333",""
"33331435","31G","333","333314","333",""
"3333143519","31G","333","333314","333",""
"3333143531","31G","333","333314","333",""
"3333143532","31G","333","333314","333",""
"3333143535","31G","333","333314","333",""
"3333143537","31G","333","333314","333",""
"3333143542","31G","333","333314","333",""
"3333143543","31G","333","333314","333",""
"3333143545","31G","333","333314","333",""
"3333143551","31G","333","333314","333",""
